jobpost_url,skill_stack,jobpost_name,company_name,company_star,task,qualification,treatment,welfare,end_day,education,career
/position/8084,"['sw·', 'machinelearning·', 'ai/인공지능·', 'python']",질병치료 관련 개발 연구원(신입~3년),넷타겟,0.0,"• 모집분야: Systems Biology, Computational Biology, Bioinformatics, Cheminformatics, Applied Mathematics, Machine Learning, and Computer Science									• 인공지능 알고리즘/SW 개발참여									• 질병치료와 관련한 의학, 생물학, 생화학 분야의 예측모델 개발참여									• 질병치료/신약개발 분야의 연구 프로젝트 수행	",• 석사 이상• 신입~3년 경력,• 제약회사/바이오텍 근무 경력 선호									• 시스템생물학/생물정보학 분야 박사학위 소지자 선호		,"• 개인 장비 지원: 최고급 PC 및 노트북, 구글클라우드 및 자체서버 지원, 사무용품• 자기계발비 지원• 건강검진 지원 • 커피, 티, 음료, 간식 제공• 경조금 및 경조휴가 지원• 탄력근무제• 인센티브제, 상여금, 우수사원포상, 퇴직금, 성과급, 연차수당, 4대보험• 성과에 따른 스톡옵션 고려가능",2022-05-03,석사졸업 이상,신입
/position/6132,"['c#·', 'python·', 'pytorch·', 'tensorflow·', 'keras·', 'deeplearning·', 'machinelearning']",딥러닝 기반 이미지 프로세싱 개발자,에타맥스,2.9,"• 딥러닝을 활용한 반도체, LED 소자 결함 검출 연구 개발",• 관련 전공 석사 이상,"• 대용량 이미지 처리 프로젝트 경험자• Object Detection, Image Segmentation 딥러닝 모델 알고리즘 개발 경험자","• 주 1회 재택근무 가능• 주 5일 유연 근무제 운용, 눈치보이지 않는 자유로운 연차 사용보장, • 중식 제공,  사무실 내 캡슐커피머신 구비, 간식 제공,  • 내일채움공제 지원(조건에 해당하는 인원 한하여), 기숙사 제공• 상여금 지급, 복지포인트 연 50만원 지급 (자기계발, 교통비로 사용 가능)• 건강검진 지원, 대학생 자녀 학자금 지원, 경조사비 지원,• 장기근속자 포상, 생일자 선물 및 조기퇴근, 명절 선물 지급, 출산 축하금 지급• 사내 주차장 보유",2022-05-07,석사졸업 이상,신입
/position/8022,"['python·', 'pytorch·', 'tensorflow·', 'deeplearning']",[전문연구요원] 생성모델 연구 및 제품 개발자 모집,솔트룩스,2.8,"• 생성 모델 연구 및 제품 개발   - GAN 응용 연구(입모양 및 포즈 생성)  - 생성모델을 활용한 제품 개발• 동작인식 알고리즘 개발   - Object Detection, Landmark Detection 알고리즘  및 관련 응용 서비스 제품 개발 • 이미지/영상 모델 개발 관련 사업 수행  - Pytorch, Tensorflow 등 딥러닝 프레임워크를 사용한 모델 개발 및 fine tuning ",• 학력 : 석사학위 이상• 경력 : 신입~경력 3년• 기술스택 : python(pytorch),• 관련 전공 이수 • Openpose/Mmpose를 활용한 연구 및 개발 • SOTA 모델 구현   (Swin Transformer / StykeGAN),• 임직원 및 가족 의료비 및 건강검진 지원• 5성급 호텔 숙박료 지원• 회식비 및 동호회비 지원• 사내 카페테리아 '해다미'운영• 야근식비 지원• 자녀학자금 교비 지원• 선택적 복리후생비• 사내대여금 및 귬융기관 대출제도 지원• 경조사비 지원• 상조물품 지원• 명절선물 지급• 출산선물 지급,상시,석사졸업 이상(졸업예정자 가능),신입
/position/7255,"['python·', 'ai/인공지능·', 'machinelearning·', 'r·', 'aws·', 'azure']",개발 역량이 있는 AI/Data Engineer,쿤텍,4.1,"• AI / Data 컨설팅 - 기업 대상 DataOps, MLOps 컨설팅 - 머신러닝 플랫폼, BI, Autolabeling, data warehouse 등 솔루션 기술지원","• 컴퓨터공학, 데이터, AI, 수학/통계학 등 전산계열 전공자• 개발 경험","• 통계적 기법을 통한 데이터 분석 역량• R/Python 프로그래밍 및 기본적인 쿼리 작성 능력• AWS, Azure 등 클라우드 환경에 대한 이해• 쿠버네티스 및 도커에 대한 기술 역량• 데이터 분석 관련 자격 보유• 빅데이터 분석 프로젝트 유경험자(데이터 분석 파이프라인 구축 유경험자)• Dataiku, KNIME, Data Robot, H2O, TensorFlow 등 사용 경험자• Tableau, MS Power BI 등 BI 사용 경험자• Snowflake 등 data warehouse, data lake 사용 경험자• 인근거주자, 해당직무 근무경험, 문서작성 우수자","• 쿤텍은 자유로운 분위기 안에서 본인이 맡은 역할과 책임을 다하는 업무 환경을 지향합니다. 이러한 업무 환경은 능동적 사고를 통해 주도적으로 문제를 해결해 나가는 방식에 부담을 느끼는 지원자와는 맞지 않을 수 있습니다. 하지만 적극적이고 끊임없는 도전 정신을 통해 빠르게 성장하고 싶은 지원자에겐 최고의 직장이 될 것이라 생각합니다.• 쿤텍은 의무근로시간 (10시 ~ 14시) 이 있는 선택적 근로시간제를 운영하고 있어 근로자가 근무시간을 유동적으로 사용할 수 있습니다. 또한 입사 후 최소 3개월 ~ 최대 6개월 이후 재택근무가 가능하여 근로자의 출/퇴근 소요시간을 줄여줍니다. 쿤텍은 연차 사용에 제약을 두지 않으며 업무에 지장만 없다면 근로자는 당일 연차 사용도 가능합니다.• 쿤텍은 중식/석식/간식을 전액 지원하며 다양한 복지제도를 통해 (교육훈련비 지원, 도서구입비 지원, 게임기 비치, 넓고 깨끗한 개인자리, 최신식 비품 등) 근로자에게 더 나은 업무환경을 제공하려 노력합니다. ",상시,대학교졸업(4년) 이상,신입
/position/5411,"['tensorflow·', 'pytorch·', 'linux·', 'python·', 'ai/인공지능']",[석사이상] AI Engineer,라온데이터,5.0,• Natural Language / Vision / Audio 등 다양한 도메인의 AI 프로젝트 수행• AI 서비스를 위한 시스템 개발,"• 인공지능 관련 분야 석/박사 학위 [필수]• 수습기간 : 3개월• 기본적인 Linux / Unix / Python 사용 능력• 컴퓨터 공학, 수학, 통계학, 이공계열 등 관련 분야 학업 이수• 알고리즘을 이해할 수 있는 수학적 능력 및 모델링 능력","• 학원 / 튜터링 프로그램을 제외한 최신 인공지능 기법을 활용한 서비스 / 프로젝트 진행 경험• Natural Language / Vision / Audio / 추천 등 다양한 도메인의 AI 프로젝트 진행 경험• 해당직무 근무경험• Tensorflow, pytorch 등의 AI 프레임워크 사용 능력",• 코어근무제 - 11:30분 출근 / 자율 퇴근• 모든 팀원간의 수평적인 관계• 입사 시 300만원 상당의 기기 지원• 회사 내에 스터디/연구 적극지원• 식비 / 간식비 전액 지원• 이외 FASTFIVE 입주기업으로 다양한 혜택 활용가능• 프로젝트 수주 시 10% 인센티브 즉시 지급 ,2022-04-29,석사졸업 이상(졸업예정자 가능),신입
/position/7628,"['python·', 'pytorch·', 'tensorflow·', 'opencv·', 'ai/인공지능·', 'deeplearning·', 'machinelearning·', 'ubuntu·', 'c++']","딥러닝, AI(컴퓨터비전) 분야 응용 프로그래머 채용(병역특례 가능)",스칼라웍스,4.5,• 딥러닝 기반의 컴퓨터 비전(영상인식기술) Project 개발 진행 및 Operation• Object Detection·Semantic Segmentation 활용 개발(e.g. YOLO v4·v5)• Image Segmentation 및 Object Detection Neural Network 최적화 및 학습(Training),"• 본인의 잠재력을 믿고 성장을 원하시는 분• Object Detection, Sementic Segmentation 등 인공지능의 기본적인 이해와 활용이 가능하신 분• 기본적인 Python을 이해하고 프로젝트에 적용 가능하신 분",• DeepLearning·AI Data Training 경험자• Linux(Ubuntu) 경험자• C++ 활용 경험자• 활용 라이브러리·프레임워크 ·언어 숙련자• 인턴·정규직 경력 등 유사 직무 경험자• 소프트웨어 계열 전공자• 석·박사 학위 수여자• 전문연구요원(병역특례),"• 유연근무제(선택적 근무시간제) 도입으로 10시 30분까지 자율 출근, 14시 이후 자율 퇴근• 자유로운 연차 사용(반차·반반차 운영)• 휴게실 內 간식·커피머신 비치 등 휴게환경 구비• 여름휴가 별도 제공• 점심시간을 이용한 점심회식• 청년내일채움공제 지원• 명절 귀향비 지급• 특허 등 직무발명시 보상• 평가에 따른 연말성과급",2022-04-18,무관,신입
/position/8052,"['sql·', 'deeplearning·', 'machinelearning·', 'python·', 'r']",데이터 사이언티스트(신입),카비,3.4,• 데이터 분석을 위한 통계 / 딥러닝 / 머신러닝 모델링• 데이터 분석에 기반한 솔루션의 기대효과 예측 및 사후 성과 측정/분석• 카비의 솔루션 데이터를 활용한 Insight 생성,"• 신입 지원 가능• 관련 전공 석사 졸업 이상• 데이터 및 머신러닝에 대한 수학적 이해와 통계적 지식 보유자• 머신러닝 등 최신 알고리즘을 활용한 실제 비즈니스 문제 해결 경험 보유자• SQL, Python, R 등 통계/분석 프로그램 능숙자","• 관련 학과 전공자(통계학, 전산학, 컴퓨터공학 등)• 유관업무 인턴 경험자(통계분석, 데이터마이닝 등)• 대용량, 실시간 데이터 처리 아키텍처 구축과 관련된 직/간접적인 경험 보유자","• 모든 구성원이 우수한 인재, 열정 넘치는 인재!• 지인을 추천하여 같이 으쌰으쌰 일하고 포상금도 받아요!• 업무 관련 특허등록시 포상금 지급!• 열심히 일한 장기근속자! 휴가와 포상금은 회사가 제공할게요 :-)• 일년 중 가장 행복해야할 생일 날 케이크 챙겨드려요!• 업무 집중! 일에 집중할 수 있는 근무 환경!(조심스레 회의를 요청드릴 순 있어요)• 연차 사용에 눈치 보는 곳, 아직 있나요?• Best 퍼포먼스를 보인 구성원에게 봉투와 함께 이달의 사원상을!• 목마르면 일 못하는 분들을 위해, 음료 제공!• 야근을 하시겠다면, 석식 제공해드립니다.(굳이 하시겠다면…)• Newcomer에게 장비 일체 최신형 제공!",상시,석사졸업 이상,신입
/position/3139,"['linux·', 'python·', 'tensorflow·', 'keras']",AI(딥러닝) 연구 및 개발,뉴로다임,정보없음,• Object Detection 및 Object Tracking 연구 및 구현• 시계열 데이터를 이용한 예측 및 이상 감지,• 나이/성별 : 무관• 군필(남성의 경우)• 신입 : AI 관련 학과 대학원 졸 이상• 경력 : 프로그래밍 관련 학과 대학교 졸업 및 AI 경력 1년 이상(대학원 AI 전공자의 경우 AI 경력 2년 인정),"• 전기/전자공학, 컴퓨터/시스템 공학, 수학/통계학 전공자• 통계 분석 능숙자, 컴퓨터 활용 능력 우수","• 출퇴근 시간 자율 근무제• 자유 복장 및 자유로운 연차 사용 가능• 휴게실 제공• 스톡옵션, 우수사원포상제, 경조사 지원 등 시행",상시,대학교졸업(4년) 이상,신입
/position/8050,"['python·', 'sql·', 'r·', 'machinelearning·', 'deeplearning']",데이터 사이언티스트 (전문연구요원),카비,3.4,• 데이터 분석을 위한 통계 / 딥러닝 / 머신러닝 모델링• 데이터 분석에 기반한 솔루션의 기대효과 예측 및 사후 성과 측정/분석• 카비의 솔루션 데이터를 활용한 Insight 생성,"• 신입 지원 가능 (전문연구요원_병역특례 지원가능)• 관련 전공  석사 졸업 이상• 데이터 및 머신러닝에 대한 수학적 이해와 통계적 지식 보유자• 머신러닝 등 최신 알고리즘을 활용한 실제 비즈니스 문제 해결 경험 보유자• SQL, Python, R 등 통계/분석 프로그램 능숙자","• 관련 학과 전공자(통계학, 전산학, 컴퓨터공학 등)• 유관업무 인턴 경험자(통계분석, 데이터마이닝 등)• 대용량, 실시간 데이터 처리 아키텍처 구축과 관련된 직/간접적인 경험 보유자","• 모든 구성원이 우수한 인재, 열정 넘치는 인재!• 지인을 추천하여 같이 으쌰으쌰 일하고 포상금도 받아요!• 업무 관련 특허등록시 포상금 지급!• 열심히 일한 장기근속자! 휴가와 포상금은 회사가 제공할게요 :-)• 일년 중 가장 행복해야할 생일 날 케이크 챙겨드려요!• 업무 집중! 일에 집중할 수 있는 근무 환경!(조심스레 회의를 요청드릴 순 있어요)• 연차 사용에 눈치 보는 곳, 아직 있나요?• Best 퍼포먼스를 보인 구성원에게 봉투와 함께 이달의 사원상을!• 목마르면 일 못하는 분들을 위해, 음료 제공!• 야근을 하시겠다면, 석식 제공해드립니다.(굳이 하시겠다면…)• Newcomer에게 장비 일체 최신형 제공!",상시,석사졸업 이상,신입
/position/4202,"['ai/인공지능·', 'machinelearning·', 'deeplearning·', 'bigdata·', 'python·', 'pytorch·', 'tensorflow']",인공지능(AI) Data Scientist 채용(박사급),마인즈앤컴퍼니,3.5,"• 최신 Deep Learning/Machine Learning 모델 개발 - 이미지, 자연어, 수치해석 등 다양한 DL/ML Modeling - 분류, 예측, 이상징후 탐지, 추천 등 다양한 영역의 AI 모델 개발 - DL/ML을 위한 데이터 수집, 정제 및 분석(로그 수준의 데이터 가공 및 분석)• 최신 AI 알고리즘 센싱 및 연구  - SOTA AI 기술 리서치 및 알고리즘 연구 - 데이터 분석 기술 및 알고리즘 고도화","• 딥러닝/머신러닝 등 AI 관련 분야 박사학위 보유자(경력 무관)• 컴퓨터 관련 전공자 수준의 프로그래밍 역량• 최신 ML 알고리즘과 딥러닝에 대한 이해, 기술을 빠르게 학습하고 구현하는 능력• 최신 논문을 이해하고 구현 할 수 있는 연구 및 개발 능력• Deep Learning framework(Tensorflow, PyTorch 등) 기반 개발 경험• 대용량의 데이터를 수집, 정제, 분석할 수 있는 역량(서류전형 합격자에 한하여 ML 모델 역량 파악을 위해 코딩테스트를 진행할 수 있음)",• AI 모델 개발 후 서비스 배포 등 상용 서비스 구현 경험• 뛰어난 의사소통 능력• 로그 수준의 대용량 데이터를 가공하여 데이터 분석/모델링까지 도출할 수 있는 전체 머신러닝 개발 프로세스 유경험자• Kaggle 등 AI 관련 Challenge 수상자,"• 업계 최고 수준 연봉(박사 신입 8,000만원 이상)• 성과 평가에 따른 인센티브 제공• 3/6/9년차 장기 근속시 Refresh 휴가• 오피스 점심 식사 및 무한 간식 제공• 임직원 건강검진(60만원 상당 풀패키지), 단체보험 가입• 개인 맥북/GPU 서버 등 고성능 장비 지원• 외부 강의, 도서 구입 등 자기개발 지원• 명절 선물 및 경조사비/경조휴가",2022-04-30,박사졸업(졸업예정자 가능),신입
/position/4201,"['machinelearning·', 'deeplearning·', 'ai/인공지능·', 'python·', 'bigdata·', 'tensorflow·', 'pytorch']",인공지능(AI) Data Scientist 채용(전문연구요원/병역특례),마인즈앤컴퍼니,3.5,"• 최신 Deep Learning/Machine Learning 모델 개발 - 이미지, 자연어, 수치해석 등 다양한 DL/ML Modeling - 분류, 예측, 이상징후 탐지, 추천 등 다양한 영역의 AI 모델 개발 - DL/ML을 위한 데이터 수집, 정제 및 분석(로그 수준의 데이터 가공 및 분석)• 최신 AI 알고리즘 센싱 및 연구  - SOTA AI 기술 리서치 및 알고리즘 연구 - 데이터 분석 기술 및 알고리즘 고도화","• 딥러닝/머신러닝 등 AI 관련 분야 전공자 - 석사 학위 소지자 / 전문연구요원 근무 중, 전직 가능자• 컴퓨터 관련 전공자 수준의 프로그래밍 역량• 최신 ML 알고리즘과 딥러닝에 대한 이해, 기술을 빠르게 학습하고 구현하는 능력• 최신 논문을 이해하고 구현 할 수 있는 연구 및 개발 능력• Deep Learning framework(Tensorflow, PyTorch 등) 기반 개발 경험• 대용량의 데이터를 수집, 정제, 분석할 수 있는 역량(서류전형 합격자에 한하여 ML 모델 역량 파악을 위해 코딩테스트를 진행할 수 있음)",• AI 모델 개발 후 서비스 배포 등 상용 서비스 구현 경험• 뛰어난 의사소통 능력• 로그 수준의 대용량 데이터를 가공하여 데이터 분석/모델링까지 도출할 수 있는 전체 머신러닝 개발 프로세스 유경험자• Kaggle 등 AI 관련 Challenge 수상자,"• 업계 최고 수준 연봉(석사 신입 5,500만원 이상)• 성과 평가에 따른 인센티브 제공• 3/6/9년차 장기 근속시 Refresh 휴가• 오피스 점심 식사 및 무한 간식 제공• 임직원 건강검진(60만원 상당 풀패키지), 단체보험 가입• 개인 맥북/GPU 서버 등 고성능 장비 지원• 외부 강의, 도서 구입 등 자기개발 지원• 명절 선물 및 경조사비/경조휴가",2022-04-30,석사졸업 이상,신입
/position/7709,"['python·', 'c·', 'c++·', 'linux·', 'git·', 'machinelearning·', 'docker·', 'vim·', 'deeplearning·', 'ros']",[신입] 자율주행 인지 - 딥러닝/영상처리,에이스랩,2.0,"• 딥러닝을 이용한 Vision 알고리즘 개발    - 주변 물체 (차선, 차량, 보행자 등) 인식 알고리즘 개발    - 물체 Depth 추정 알고리즘 개발","•  학사 혹은 상응하는 지식    - 자동차공학, 기계공학, 로보틱스, 컴퓨터 공학 전공•  C++ 및 Python 프로그래밍 능력•  Linux 상 프로그램 개발 능력•  ROS에 대한 이해",• 자율주행시스템의 전반적인 구조에 대한 이해• Git 등의 협업 툴 사용 경험• Open source 딥러닝 모델 활용 경험• 딥러닝을 이용한 영상처리 프로세스에 대한 이해,"개발에만 몰두하도록 돕는 업무 환경 • 자율 복장• 역삼-선릉 도보 5분• 주5일 유연근로제 • 최고사양 장비 지원 일하는 것만큼 중요한 쉼• 라운지와 작은 카페 운영• 고급 원두커피(스벅, 폴바셋)와 과자, 음료수 등 간식 무제한 제공• 자유로운 연차 사용• 5년 근속 시 3주의 refresh 휴가함께 자라는 회사와 팀원• 개인의 성장을 위한 업무 교육과 세미나, 도서 지원• 스터디, 세미나를 위한 라운지와 스터디룸 지원• 신입 엔지니어 멘토링 제도 운영회사 밖 삶을 지원하는 에이스랩• 명절/생일에 선물 지급• 매년 건강검진 지원• 경조사 지원 (휴가, 화환, 경조금)",2022-04-15,대학교졸업(4년) 이상,신입
/position/5986,"['deeplearning·', 'machinelearning·', 'ai/인공지능']",ML Research Scientist/Engineer,알세미,0.0,"• 반도체 소자(Transistor) Regression 모델 개발• Limited data 환경에서 knowledge transfer, Generalization 문제 연구• 반도체 Domain knowledge를 모델에 inductive bias로 내재화 (반도체 전문 Team과 협업)",• AI 관련 학위 소유 혹은 이에 준하는 역량 보유자• 연구수행 및 기술 논문 작성 경험,"• AI 관련 학회 논문 저자• 최신 AI 논문을 이해하고 구현할 수 있는 능력• 자기주도적 연구 수행 경험[관심분야]• Deep learning theory, Meta learning, Multi-task learning, Loss Landscape, Symbolic regression, Bayesian Inference, Physics-based neural network, AutoML[제출서류]• 필수: CV, 이력서, 자기소개서• 선택: 포트폴리오[포트폴리오]• 형식: pdf, github 등 자유형식• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시[채용 프로세스]서류 전형 > 1차 인터뷰 > 2차 인터뷰 > 최종합격** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다.","[능력 100% 발휘할 수 있는 알세미의 업무환경]▶ 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다!▶ 함께 성장합니다! 본인 필요에 따라 각종 교육/도서 지원▶ 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요!▶ 집중력이 떨어질 땐.. 라운지 공간 자유롭게 이용~ 쉬면서 일해요 :)[나의 삶을 응원하는 알세미의 Work-Life Balance]▶ 자율출퇴근! 한달 기준으로 근무시간만 채우면 되고 당연히 재택근무 노터치 노상관! (코어타임 10:30 ~ 15:30)▶ 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더!▶ 출산휴가, 배우자 출산휴가 및 다양한 경조휴가(+경조금) 제공!▶ 함께 건강합시다! 코로나19에 따른 백신휴가 1+1일![먹는 것이 가장 소중합니다]▶ 밥은 든든하게! 점심/저녁 식비 제공!▶ 과자/커피/음료 무제한 제공▶ 옆 골목엔 선릉역 먹자골목이![역세권? 여기서는 알-세-권]▶ 선릉역 1번출구에서 도보 3분 거리!▶ 도심 속 자연과 함께! 선정릉 관람권 제공!",2022-05-05,대학교졸업(4년) 이상(졸업예정자 가능),신입
/position/7422,"['deeplearning·', 'machinelearning·', 'ai/인공지능']",[전문연구요원] ML Research Scientist/Engineer,알세미,0.0,"• 반도체 소자(Transistor) Regression 모델 개발• Limited data 환경에서 Knowledge transfer, Generalization 문제 연구• 반도체 Domain knowledge를 모델에 Inductive bias로 내재화(반도체 전문 Team과 협업)",[전문연구요원] • AI 관련 학위 소유 혹은 이에 준하는 역량 보유자• 연구수행 및 기술 논문 작성 경험,"• AI 관련 학회 논문 저자• 최신 AI 논문을 이해하고 구현할 수 있는 능력• 자기주도적 연구 수행 경험[관심분야]• Deep learning theory, Meta learning, Multi-task learning, Loss Landscape, Symbolic regression, Bayesian Inference, Physics-based neural network, AutoML","[능력 100% 발휘할 수 있는 알세미의 업무환경]• 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다!• 함께 성장합니다! 본인 필요에 따라 각종 교육/도서 지원• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요!• 집중력이 떨어질 땐.. 라운지 공간 자유롭게 이용~ 쉬면서 일해요 :)[나의 삶을 응원하는 알세미의 Work-Life Balance]• 자율출퇴근! 한달 기준으로 근무시간만 채우면 되고 당연히 재택근무 노터치 노상관! (코어타임 10:30 ~ 15:30)• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더!• 출산휴가, 배우자 출산휴가 및 다양한 경조휴가(+경조금) 제공!• 함께 건강합시다! 코로나19에 따른 백신휴가 1+1일![먹는 것이 가장 소중합니다]• 밥은 든든하게! 점심/저녁 식비 제공!• 과자/커피/음료 무제한 제공• 옆 골목엔 선릉역 먹자골목이![역세권? 여기서는 알-세-권]• 선릉역 1번출구에서 도보 3분 거리!• 도심 속 자연과 함께! 선정릉 관람권 제공!",2022-05-05,석사졸업 이상,신입
/position/8009,"['tensorflow·', 'python·', 'ai/인공지능·', 'deeplearning·', 'machinelearning']",AI(딥러닝) 연구 및 개발,안티그래비티,정보없음,• 스캔 및 사진 데이터를 활용하여 사이즈 측정 알고리즘 개발,• 관련학과 석사 (이상)• 동시 위치인식 및 지도작성(SLAM) 분석 및 모델링 경험이 있으신 분• 공개된 Model을 API 시스템으로 구축한 경험이 있으신 분• 공개 Model보다 좋은 고유 Model 학습하시는 분• 딥러닝/머신러닝 기술을 통해 지능화된 고객서비스 개발 경험이 있으신 분,• 관련 실무 경력 1년 이상이신 분(신입가능),"안티그래비티는 직원들이 성장하며 일할 수 있는 환경을 만들기 위해 노력하고 있어요 : )[업무환경]• 수평적 관계 지향 (전 직원 영어 이름 사용)• 유연근무제 (8~10시 사이 자유롭게 출근, 8시간 근무 후 눈치 안보고 퇴근)• 무려 1시간30분 점심시간 (성수동 맛집 탐방 가능)• 묻지도 따지지도 않는 반차/연차 사용이 가능• 성과에 따라 스톱옵션 지급• 여름 및 겨울 휴가 제공 (연월차 별도)• 생일 선물 제공 (소중한 우리 직원을 위한 조기퇴근 및 기프티콘)• 명절 선물 지급 / 경조사 지원• 초기 멤버인 만큼 스스로 혜택과 문화를 만들어 가실 수 있는 자율성을 보장[근무환경]• 중식비 지원 (연봉에 미포함)• 업무 특성에 최적화된 하이퀄리티 장비/라이센스 지원• 8시간 앉아도 편안한 시디즈 의자 제공• 야근 식대 및 교통비 (거의 쓸일 없음)• 1 / 3 / 5/ 7년 장기근속자 휴가 및 지원금 제도[자기계발]• 도서, 강의, 세미나 및 컨퍼런스 참가비 지원• 사내 스터디 지원[친목 및 교류]• 왜곡된 회식문화, 음주문화 일절 없음• 놀기 위한 워크샵 연 1회 진행(해외/국내)",2022-04-15,석사졸업 이상,신입
/position/7557,"['c·', 'c++·', 'linux·', 'android', 'os·', 'pytorch·', 'tensorflow·', 'ai/인공지능']",[신입/경력] Deep Learning Researcher(메타버스 아바타 생성),알체라,3.3,"• 메타버스에 관련된 AI 기술과 아바타 생성 기술에 대해 연구하고 있습니다.• SDK 개발 조직과의 커뮤니케이션을 통해 AI 엔진을 고도화하고 있습니다.• 메타버스 관련 기술에 대한 AI모델을 경량화 하는 연구를 하고 있습니다. • 다양한 사물을 표현하기 위한 2D, 3D 모델 생성을 위한 기술 개발 및 연구를 하고 있습니다.","• 학력 : 4년제 대졸 이상(석사 이상 우대)• 전공 : 컴퓨터 공학 (Computer Engineering & Computer Science계열) 및 인접 학과(전기전자, 수학 등)• 경력 : 신입 또는 Computer Vision Deep Learning 경력 보유자            (병역특례 보충역 혹은 전직 지원 가능)• 경험 1) 표준함수와 S/W 인터페이스(C,C++, 크로스플랫폼_Linux, Android) 설계능력을 보유하신 분  2) 딥러닝 관련 framework(pytorch, tensorflow, mxnet) 관련 프로젝트 경험이 있으시고 오픈소스 Library를 경험해보신 분  3) Linux 계열 OS에서 개발이 가능하신 분  4) 영상처리와 컴퓨터비전에 대한 이해를 가지고 계신 분  5) 영상기반 AI 관련 SOTA 논문을 이해하고 구현하실 수 있으신 분","• 생성모델(GAN) 관련 연구 및 개발 경험이 있으신 분 • 3D Reconstruction 관련 연구 및 개발 경험이 있으신 분 • Face, Body 관련 연구 및 개발 경험이 있으신 분• 해외 유명 학회(CVPR, ICCV, ECCV ..등) 논문 게재에 참여하신 분■ 채용절차• 서류전형 - Job fit Interview & Technical Interview(Coding Test or PT) - Culture fit Interview - 처우협의 - 건강검진 - 최종합격  (필요 시, 추가 전형이 진행될 수 있습니다.)■ 안내사항 • 전형 절차는 일정 및 상황에 따라 변동될 수 있습니다.• 진행 일정은 확정되는 대로 지원자분들에게 개별 안내 예정입니다.• 본 채용은 모집 기간 내에 인재 선발 완료 시 공고가 마감될 수 있습니다.• 지원서 내용 중 허위 사실이 있는 경우에는 합격이 취소될 수 있습니다.","■ 알체라와 함께 하신다면?• No.1 Visual AI 기업 알체라에서 AI Specialist로서의 커리어를 만들어보세요. 국내 1위를 넘어 글로벌 AI 시장으로 확대해 나가는 성장의 여정을 함께 하세요.• 알체라에는 직함이 없어요. 서로를 ‘님’으로 부르고, 존중하는 수평적인 조직문화를 가지고 누려보세요.• 알체라는 선택적 근로시간제를 운영하고 있어요! 업무에 대한 책임감을 바탕으로 가장 효율적으로 일할 수 있는 시간을 정하고 있어요.• 최고급 사양의 컴퓨터, 전 좌석 Standing Desk 등을 비롯해 총 21가지 복지혜택을 누려보세요.■ 알체라를 더 알고 싶다면? • Alchera Homepage (https://alchera.ai/)• Alchera Youtube (https://www.youtube.com/channel/UC5xYRGgq2dMEjwO-TJDf2Hw)• Alchera Blog (https://medium.com/dreamtime-alchera-inc/tagged/korean)• Alchera Facebook (https://www.facebook.com/alcherainc)",상시,대학교졸업(4년) 이상,신입
